accountsservice 22.08.8-2
  /var/cache/pacman/pkg/ 1.04 G (0.00 B not installed)

                     rem@archlinuxkvm
        /\           OWOS        Nyarch Linuwu
       /  \          MOWODEL     Standard PC (Q35 + ICH9, 2009)
      /\   \         KEWNEL      Linuwu 6.0.7-zen1-1-zen x86_64             
     / > ω <\        CPUWU       Inteww(R) Core(TM) i5-7400 CPUwU @ 3.00GHz
    /   __   \       GPUWU       Red Hat, Inc. Virtio GPUwU
   / __|  |__-\      MEMOWY      481 MiB/4783 MiB
  /_-''    ''-_\     SHEWW       /bin/bash
                     PKGS        527: 527 (pacman)
                     UWUPTIME    7m

keyboard binds for volume, pause music and stuff
do more things
_i want to die_
display manager 
install xorg
quicker way to copy files to home dir (pipewire)
in general quicker way to do stuff
mate vs xfce // damn // maybe offer both
too much bloat // lmao
doas syslink vs bash alias
pace is all fucked up
bluetooth?
local network file sharing?
why is paru all fucked up
https://soundcloud.com/removed0 plug // technoblade :sad:
also like mention that this "guide" IS NOT A GUIDE LMAO
add instructions for people to follow along // lynx in other tty
stats: disk usage 8.8GB, ram usage: 450M, tasks: 48, cpu usage: 1%~
gn
